SpotifyID,Track,Artist,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,loudness,is_hit
1fTwOeW5cmT0Vh1HCnv5MO,Let's Get It Started,The Black Eyed Peas,0.866,0.784,2,1,0.0414,0.0492,0.0,0.066,0.795,104.989,193794,-5.48,1
57OfvZ1HFFTWQltTgdyj6N,For You,The Outfield,0.623,0.675,10,1,0.0309,0.226,8.37e-05,0.156,0.633,118.9,267280,-9.196,1
1cAMXz9mnvrqyQLSG4KeeE,Sirens,Pearl Jam,0.522,0.847,3,1,0.0279,0.00313,1.22e-05,0.146,0.482,155.073,340320,-5.888,1
3mSJEWKGLLCkaXXgXB8BvK,Let it go Interlude,PMD,0.574,0.226,8,1,0.829,0.657,0.0,0.774,0.449,132.162,44280,-19.926,0
4nwgKaHg9TJahiSSmt3X1x,Not Enough Time,INXS,0.668,0.727,2,1,0.0414,0.0447,0.0104,0.45,0.287,96.006,250653,-5.679,1
4JNTpbntShpUpACDUzwHV5,Go!,Common,0.838,0.763,10,0,0.227,0.0915,1.37e-05,0.123,0.544,104.958,224160,-11.132,1
4HcZXoeHDshLjV5a2bqQh7,Street Vibe,Jason Miles,0.844,0.775,0,1,0.0957,0.0869,0.113,0.114,0.89,127.001,294720,-6.246,0
2YbJ54nwtU056lgk82rzuW,Salsa pa tí,Perrocker,0.648,0.44,2,1,0.0399,0.418,0.0,0.0915,0.617,93.877,304107,-13.619,0
3uRytee5BNgbkgsOnBoRNI,WKYA (drop),Redman,0.588,0.649,1,0,0.484,0.321,0.0,0.299,0.886,85.02,124200,-9.808,0
0TEQ2QmFXnHCgQvYuvsbp2,(I Know I Got) Skillz,Shaquille O'Neal,0.801,0.875,7,1,0.0995,0.00366,0.425,0.182,0.637,91.983,263053,-9.705,1
2aibwv5hGXSgw7Yru8IYTO,Snow ((Hey Oh)),Red Hot Chili Peppers,0.427,0.9,11,1,0.0499,0.116,1.75e-05,0.119,0.599,104.655,334667,-3.674,1
2EWpa5XnAuSn0sIkSSIhYk,Wish I Knew You,The Revivalists,0.649,0.718,0,0,0.0261,0.143,0.0713,0.124,0.718,101.034,274093,-6.593,1
4gaz3uvhKgO078XcdzyPsl,Money To Blow,Birdman Featuring Lil Wayne & Drake,0.708,0.578,6,1,0.0631,0.0095,0.0,0.353,0.696,133.03,258587,-8.686,1
